CYCLIC,8,inf,8.684211,0.0,99.0,1.0,8.684211
SAWTOOTH,8,inf,8.684211,0.0,99.0,1.0,8.684211
RAND FORWARD FORWARD,8,inf,9.263158,0.0,88.0,1.0,9.263158
RAND FORWARD BACKWARD,8,inf,9.842105,0.0,88.0,1.0,9.842105
RAND BACKWARD BACKWARD,8,inf,14.47368,0.0,99.0,1.0,14.47368
CYCLIC,8,inf,12.15789,0.0,176.0,1.0,12.15789
SAWTOOTH,8,inf,11.57895,0.0,165.0,1.0,11.57895
RAND FORWARD FORWARD,8,inf,4.052632,0.0,22.0,1.0,4.052632
RAND FORWARD BACKWARD,8,inf,6.947368,0.0,44.0,1.0,6.947368
RAND BACKWARD BACKWARD,8,inf,11.57895,0.0,66.0,1.0,11.57895
CYCLIC,16,inf,13.89474,0.0,198.0,2.0,6.947368
SAWTOOTH,16,inf,12.15789,0.0,187.0,2.0,6.078947
RAND FORWARD FORWARD,16,inf,9.842105,0.0,66.0,2.0,4.921053
RAND FORWARD BACKWARD,16,36604830.0,22.57895,11.0,198.0,2.0,11.28947
RAND BACKWARD BACKWARD,16,36604830.0,17.36842,11.0,66.0,2.0,8.684211
CYCLIC,16,inf,13.31579,0.0,165.0,2.0,6.657895
SAWTOOTH,16,inf,11.0,0.0,154.0,2.0,5.5
RAND FORWARD FORWARD,16,inf,9.263158,0.0,66.0,2.0,4.631579
RAND FORWARD BACKWARD,16,inf,14.47368,0.0,66.0,2.0,7.236842
RAND BACKWARD BACKWARD,16,inf,11.57895,0.0,66.0,2.0,5.789474
CYCLIC,32,inf,15.63158,0.0,176.0,4.0,3.907895
SAWTOOTH,32,inf,16.21053,0.0,187.0,4.0,4.052632
RAND FORWARD FORWARD,32,73209670.0,20.26316,11.0,66.0,4.0,5.065789
RAND FORWARD BACKWARD,32,73209670.0,30.68421,11.0,176.0,4.0,7.671053
RAND BACKWARD BACKWARD,32,73209670.0,27.78947,11.0,88.0,4.0,6.947368
CYCLIC,32,inf,16.78947,0.0,209.0,4.0,4.197368
SAWTOOTH,32,inf,16.78947,0.0,187.0,4.0,4.197368
RAND FORWARD FORWARD,32,73209670.0,21.42105,11.0,66.0,4.0,5.355263
RAND FORWARD BACKWARD,32,73209670.0,34.15789,11.0,220.0,4.0,8.539474
RAND BACKWARD BACKWARD,32,36604830.0,30.10526,22.0,88.0,4.0,7.526316
CYCLIC,64,146419300.0,26.63158,11.0,209.0,8.0,3.328947
SAWTOOTH,64,146419300.0,25.47368,11.0,220.0,8.0,3.184211
RAND FORWARD FORWARD,64,73209670.0,33.0,22.0,110.0,8.0,4.125
RAND FORWARD BACKWARD,64,73209670.0,31.84211,22.0,88.0,8.0,3.980263
RAND BACKWARD BACKWARD,64,73209670.0,37.05263,22.0,110.0,8.0,4.631579
CYCLIC,64,146419300.0,28.36842,11.0,242.0,8.0,3.546053
SAWTOOTH,64,146419300.0,28.94737,11.0,264.0,8.0,3.618421
RAND FORWARD FORWARD,64,73209670.0,35.89474,22.0,121.0,8.0,4.486842
RAND FORWARD BACKWARD,64,73209670.0,42.84211,22.0,242.0,8.0,5.355263
RAND BACKWARD BACKWARD,64,73209670.0,36.47368,22.0,121.0,8.0,4.559211
CYCLIC,128,292838700.0,37.05263,11.0,242.0,16.0,2.315789
SAWTOOTH,128,292838700.0,34.15789,11.0,253.0,16.0,2.134868
RAND FORWARD FORWARD,128,58567740.0,74.10526,55.0,143.0,16.0,4.631579
RAND FORWARD BACKWARD,128,48806450.0,92.05263,66.0,319.0,16.0,5.753289
RAND BACKWARD BACKWARD,128,58567740.0,77.57895,55.0,143.0,16.0,4.848684
CYCLIC,128,292838700.0,35.31579,11.0,220.0,16.0,2.207237
SAWTOOTH,128,292838700.0,33.57895,11.0,231.0,16.0,2.098684
RAND FORWARD FORWARD,128,73209670.0,65.42105,44.0,132.0,16.0,4.088816
RAND FORWARD BACKWARD,128,73209670.0,66.0,44.0,242.0,16.0,4.125
RAND BACKWARD BACKWARD,128,73209670.0,61.36842,44.0,132.0,16.0,3.835526
CYCLIC,256,292838700.0,50.94737,22.0,242.0,32.0,1.592105
SAWTOOTH,256,292838700.0,46.89474,22.0,264.0,32.0,1.465461
RAND FORWARD FORWARD,256,58567740.0,130.8421,110.0,209.0,32.0,4.088816
RAND FORWARD BACKWARD,256,65075260.0,130.2632,99.0,319.0,32.0,4.070724
RAND BACKWARD BACKWARD,256,58567740.0,127.9474,110.0,220.0,32.0,3.998355
CYCLIC,256,292838700.0,52.68421,22.0,275.0,32.0,1.646382
SAWTOOTH,256,292838700.0,46.31579,22.0,286.0,32.0,1.447368
RAND FORWARD FORWARD,256,58567740.0,130.2632,110.0,198.0,32.0,4.070724
RAND FORWARD BACKWARD,256,58567740.0,132.0,110.0,330.0,32.0,4.125
RAND BACKWARD BACKWARD,256,65075260.0,121.0,99.0,209.0,32.0,3.78125
CYCLIC,512,195225800.0,115.2105,66.0,583.0,64.0,1.800164
SAWTOOTH,512,234270900.0,78.15789,55.0,286.0,64.0,1.221217
RAND FORWARD FORWARD,512,58567740.0,251.8421,220.0,297.0,64.0,3.935033
RAND FORWARD BACKWARD,512,58567740.0,247.2105,220.0,308.0,64.0,3.862664
RAND BACKWARD BACKWARD,512,61650250.0,237.3684,209.0,297.0,64.0,3.708882
CYCLIC,512,195225800.0,89.73684,66.0,275.0,64.0,1.402138
SAWTOOTH,512,234270900.0,79.31579,55.0,286.0,64.0,1.239309
RAND FORWARD FORWARD,512,58567740.0,261.1053,220.0,528.0,64.0,4.07977
RAND FORWARD BACKWARD,512,55778800.0,272.6842,231.0,517.0,64.0,4.260691
RAND BACKWARD BACKWARD,512,58567740.0,244.8947,220.0,407.0,64.0,3.82648
CYCLIC,1024,195225800.0,161.5263,132.0,319.0,128.0,1.261924
SAWTOOTH,1024,260301000.0,133.7368,99.0,286.0,128.0,1.044819
RAND FORWARD FORWARD,1024,57139250.0,499.6316,451.0,649.0,128.0,3.903372
RAND FORWARD BACKWARD,1024,55778800.0,514.6842,462.0,693.0,128.0,4.02097
RAND BACKWARD BACKWARD,1024,60069470.0,489.2105,429.0,979.0,128.0,3.821957
CYCLIC,1024,195225800.0,174.8421,132.0,539.0,128.0,1.365954
SAWTOOTH,1024,234270900.0,132.0,110.0,297.0,128.0,1.03125
RAND FORWARD FORWARD,1024,57139250.0,499.6316,451.0,638.0,128.0,3.903372
RAND FORWARD BACKWARD,1024,58567740.0,497.3158,440.0,704.0,128.0,3.88528
RAND BACKWARD BACKWARD,1024,60069470.0,683.7368,429.0,4367.0,128.0,5.341694
CYCLIC,2048,203713900.0,292.3684,253.0,473.0,256.0,1.142064
SAWTOOTH,2048,234270900.0,250.1053,220.0,440.0,256.0,0.9769737
RAND FORWARD FORWARD,2048,57139250.0,988.8421,902.0,1023.0,256.0,3.862664
RAND FORWARD BACKWARD,2048,55122570.0,1005.632,935.0,1133.0,256.0,3.928248
RAND BACKWARD BACKWARD,2048,59309100.0,924.0,869.0,979.0,256.0,3.609375
CYCLIC,2048,203713900.0,292.9474,253.0,462.0,256.0,1.144326
SAWTOOTH,2048,246601000.0,246.6316,209.0,429.0,256.0,0.9634046
RAND FORWARD FORWARD,2048,56450830.0,985.3684,913.0,1012.0,256.0,3.849095
RAND FORWARD BACKWARD,2048,56450830.0,993.4737,913.0,1045.0,256.0,3.880757
RAND BACKWARD BACKWARD,2048,60069470.0,919.9474,858.0,968.0,256.0,3.593544
CYCLIC,4096,199379500.0,570.8421,517.0,671.0,512.0,1.114926
SAWTOOTH,4096,246601000.0,467.7895,418.0,594.0,512.0,0.9136513
RAND FORWARD FORWARD,4096,51206760.0,2172.789,2013.0,2387.0,512.0,4.243729
